rank,name,score,AdmissionRate,MatriculationRate,SAT75Equiv,SAT25Equiv,GraduationRate,RetentionRate,Tuition,ExpensesPerStudent,ProfessorSalary,PercentUndergradOutOfState,PercentUndergradForeign,PercentWomen,PercentUndergrad18-24,StudentToFacultyRatio,Enrollment,FulltimeUndergradEnrollment
739,University of Southern Maine,288340.8,83.9,23.2,1659.2,1327.3,32.0,65.0,7796.0,18375.5,101502.0,20.0,1.0,59,61.0,15,8428,3985
740,Point Park University,288314.2,70.7,25.9,1642.5,1319.8,58.0,77.0,26170.0,17593.1,89964.0,34.0,3.0,56,75.0,13,3737,2616
741,University of West Georgia,288205.5,48.6,58.3,1535.7,1295.7,41.0,74.0,5837.0,11007.8,75465.0,2.0,0.0,65,85.0,21,12206,8531
742,Dallas Baptist University,288107.9,46.2,38.4,1873.3,1337.9,55.0,72.0,22350.0,14240.8,80604.0,8.0,0.0,60,76.3,13,5445,2397
743,East Central University,288064.8,97.2,64.7,1646.8,1340.5,34.0,66.0,5241.0,12274.1,62172.0,7.0,3.0,62,74.0,19,4428,2972
744,Indiana State University,288064.0,82.5,29.5,1530.0,1195.8,40.0,64.0,8256.0,13320.4,86715.0,11.0,3.0,55,82.0,20,13183,9459
745,Bryant University,288062.8,75.1,17.7,1100.0,1100.0,78.0,87.0,37234.0,29523.1,154287.0,79.0,9.0,41,96.0,14,3462,3232
746,Austin Peay State University,288020.5,89.3,50.6,1650.0,1350.0,37.0,72.0,6876.0,12894.5,76356.0,6.0,0.0,60,64.0,18,10111,6798
747,Adrian College,287930.1,61.9,15.3,1642.5,1351.5,57.0,60.0,30758.0,22953.9,82791.0,21.0,3.0,48,95.0,13,1641,1546
748,Southwest Minnesota State University,287890.8,66.9,37.9,1589.1,1348.9,43.0,69.0,8074.0,6034.0,82530.0,23.0,0.0,58,76.3,29,7069,2105
749,Southern Polytechnic State University,287847.4,79.1,60.5,1844.3,1548.2,35.0,75.0,5732.0,10393.3,72243.0,1.0,2.0,21,70.0,21,6786,4282
750,SUNY College at Old Westbury,287764.1,62.3,21.1,1628.7,1371.3,37.0,84.0,6624.0,17939.1,92331.0,1.0,1.0,58,75.0,19,4504,3670
751,Kentucky State University,287750.9,47.7,9.2,1458.6,1163.1,20.0,44.0,6276.0,35479.9,73269.0,51.0,0.0,61,71.0,12,1895,1397
