rank,name,score,AdmissionRate,MatriculationRate,SAT75Equiv,SAT25Equiv,GraduationRate,RetentionRate,Tuition,ExpensesPerStudent,ProfessorSalary,PercentUndergradOutOfState,PercentUndergradForeign,PercentWomen,PercentUndergrad18-24,StudentToFacultyRatio,Enrollment,FulltimeUndergradEnrollment
360,University of Wisconsin-Milwaukee,320680.8,89.6,47.8,1650.0,1350.0,44.0,70.0,9300.0,17335.4,99639.0,11.0,2.0,53,77.0,18,27596,18793
361,Gordon College,320639.9,88.4,24.1,1923.7,1549.3,72.0,81.0,33230.0,21761.9,75150.0,45.0,9.0,66,98.0,13,2105,1698
362,Nova Southeastern University,320503.9,48.8,28.3,1895.5,1521.7,46.0,74.0,25400.0,22951.6,110880.0,29.0,7.0,70,76.3,16,24148,3162
363,University of New Haven,320394.2,80.9,16.8,1754.5,1439.0,50.0,80.0,33740.0,18624.1,123741.0,62.0,5.0,49,87.0,15,6811,4674
364,University of South Alabama,320379.8,83.3,45.5,1712.7,1404.5,38.0,71.0,6948.0,21079.6,86355.0,21.0,4.0,61,76.0,20,15805,9090
365,Missouri State University-Springfield,320309.9,85.0,41.0,1771.3,1468.7,55.0,75.0,6908.0,10450.6,81315.0,12.0,1.0,58,76.0,20,21816,14097
366,Pittsburg State University,320116.5,79.2,47.0,1650.0,1350.0,50.0,72.0,5906.0,12498.8,78273.0,33.0,1.0,51,83.0,19,7479,5586
367,University of South Dakota,320079.1,88.8,39.6,1707.0,1405.8,56.0,74.0,8022.0,17823.3,95364.0,35.0,2.0,61,77.0,17,10061,4876
368,Portland State University,320034.7,69.3,39.8,1728.9,1350.0,42.0,73.0,7878.0,14262.1,99297.0,25.0,8.0,53,54.0,19,27696,14561
369,University of Louisiana at Lafayette,320024.5,55.8,55.8,1713.6,1468.2,48.0,76.0,6192.0,12141.1,78435.0,7.0,1.0,56,78.0,23,17195,12498
370,University of San Francisco,319986.5,60.1,14.3,1880.0,1577.1,70.0,87.0,40294.0,26930.4,145620.0,22.0,18.0,63,88.0,14,10689,6529
371,Murray State University,319769.0,80.0,39.6,1760.7,1403.4,52.0,72.0,7044.0,13526.6,82683.0,35.0,3.0,59,73.0,16,11207,7370
372,Ave Maria University,319595.9,51.7,43.4,1795.3,1440.3,41.0,74.0,23000.0,24773.0,84231.0,51.0,1.0,48,76.3,15,1081,1012
373,SUNY Oneonta,319388.5,49.9,19.2,1745.5,1515.8,73.0,87.0,7230.0,18825.8,78480.0,2.0,1.0,61,97.0,19,6101,5727
374,Massachusetts College of Art and Design,319196.8,72.9,33.4,1776.4,1425.3,70.0,89.0,10400.0,24300.2,91818.0,39.0,4.0,70,82.0,9,2095,1628
375,York College Pennsylvania,318555.8,45.5,16.5,1726.2,1426.2,61.0,79.0,17010.0,15003.4,75708.0,51.0,0.0,56,87.0,16,5067,4340
376,Oakwood University,318493.0,47.9,37.1,1544.2,1224.3,44.0,76.0,16234.0,21867.3,55629.0,82.0,6.0,57,84.0,14,1939,1750
377,Webster University,318420.5,72.1,44.4,1820.0,1470.0,64.0,77.0,23760.0,11217.3,93672.0,32.0,0.0,56,76.3,13,16769,2512
378,Lee University,318398.1,89.1,48.6,1785.2,1424.1,54.0,80.0,13750.0,10325.2,59211.0,49.0,5.0,58,74.0,17,4965,3769
379,Wartburg College,318036.4,78.8,25.5,1816.7,1465.9,71.0,74.0,34250.0,25333.4,69759.0,32.0,9.0,52,96.0,12,1661,1596
380,Colorado College,317995.7,17.9,40.3,1100.0,1100.0,86.0,94.0,44222.0,51657.9,129681.0,76.0,8.0,54,99.0,10,2067,2036
381,Biola University,317943.6,75.4,32.4,1866.6,1489.8,69.0,87.0,32142.0,18639.4,97452.0,26.0,0.0,54,93.0,17,6358,4268
382,Keene State College,317814.9,78.6,24.9,1590.0,1300.0,62.0,76.0,12776.0,15365.2,93150.0,61.0,0.0,57,93.0,16,4957,4566
383,Austin College,317813.9,54.4,21.6,1892.6,1568.7,76.0,86.0,33830.0,27051.5,83952.0,9.0,3.0,52,98.0,12,1301,1271
384,Westminster College,317672.8,95.8,27.9,1833.9,1517.0,60.0,72.0,29500.0,21753.8,90180.0,47.0,0.0,54,82.0,9,2991,2075
385,Boise State University,317587.0,77.0,36.2,1733.1,1385.4,36.0,75.0,6292.0,11732.3,84204.0,36.0,3.0,55,56.0,19,22227,12155
386,University of New Orleans,317490.7,43.6,51.9,1745.3,1474.4,34.0,69.0,6578.0,16653.0,87606.0,10.0,6.0,51,66.0,21,9234,5280
387,Spring Hill College,317433.1,51.8,11.2,1815.1,1511.4,58.0,73.0,30924.0,23227.9,68679.0,62.0,2.0,60,94.0,13,1376,1178
388,Bates College,317410.2,25.4,38.3,1100.0,1100.0,88.0,95.0,45650.0,47823.7,120573.0,82.0,8.0,50,99.0,10,1773,1773
389,Florida Gulf Coast University,317296.5,58.9,34.2,1698.7,1458.7,49.0,78.0,6118.0,10872.9,100305.0,10.0,3.0,56,86.0,22,14473,10578
390,Seton Hall University,317210.4,75.5,13.1,1835.5,1574.5,66.0,85.0,35820.0,23342.9,105750.0,32.0,2.0,59,90.0,14,9627,5348
391,Evangel University,317056.7,64.5,40.8,1751.7,1389.4,48.0,75.0,20040.0,19189.3,66339.0,63.0,1.0,56,76.3,14,2006,1603
392,University of Akron Main Campus,316872.0,95.7,28.7,1773.6,1350.0,42.0,74.0,10054.0,16217.9,111384.0,6.0,1.0,49,76.0,19,23962,15515
393,Western Kentucky University,316755.7,93.3,39.7,1764.8,1347.9,44.0,73.0,8722.0,15137.5,84843.0,20.0,4.0,58,73.0,18,20171,13297
394,Middle Tennessee State University,316728.6,72.1,45.9,1714.5,1354.5,46.0,71.0,7546.0,14583.8,79929.0,5.0,3.0,54,77.0,19,22729,16627
395,University of Southern Mississippi,316690.1,66.7,41.2,1708.5,1350.6,48.0,74.0,6744.0,19013.9,86346.0,27.0,1.0,63,77.0,17,14792,10577
396,Rutgers University-Newark,316408.7,62.7,16.7,1720.0,1430.0,66.0,86.0,12998.0,21583.7,147825.0,3.0,4.0,49,76.0,11,11314,5943
397,CUNY Hunter College,316170.2,34.7,20.7,1890.0,1590.0,52.0,86.0,6129.0,15182.2,113427.0,2.0,1.0,68,63.0,11,23112,12142
398,Bowling Green State University-Main Campus,316126.1,53.4,39.1,1660.5,1350.0,55.0,76.0,10726.0,15693.9,101718.0,13.0,1.0,57,91.0,19,16554,12993
399,Coe College,315963.0,55.3,20.0,1882.6,1533.1,70.0,78.0,35730.0,22055.5,79380.0,61.0,1.0,56,76.3,11,1436,1360
400,Central Michigan University,315823.8,69.3,30.0,1711.2,1409.4,56.0,76.0,11220.0,12851.0,102087.0,5.0,0.0,57,86.0,20,26879,17976
401,Mercer University,315798.3,66.7,27.6,1940.0,1670.4,63.0,80.0,33120.0,23576.0,87984.0,21.0,2.0,62,76.3,13,8552,3833
402,Northern Kentucky University,315579.4,90.7,38.4,1706.9,1403.8,36.0,69.0,8376.0,14105.8,91773.0,34.0,1.0,56,70.0,16,15090,9433
403,Northern Illinois University,315254.9,50.9,25.2,1710.0,1351.8,50.0,71.0,12976.0,22669.7,95679.0,4.0,1.0,51,76.3,15,20611,13489
404,Fort Lewis College,315227.6,90.8,35.2,1678.0,1357.2,38.0,52.0,6922.0,13273.8,87930.0,50.0,0.0,49,83.0,19,3791,3479
405,Ramapo College of New Jersey,314757.5,53.3,27.4,1802.0,1454.0,72.0,88.0,13388.0,17000.7,107370.0,6.0,0.0,56,87.0,18,6003,5044
406,Arizona State University-Polytechnic,314514.5,76.7,32.6,1885.1,1517.0,59.0,82.0,9528.0,20220.9,120024.0,30.0,7.0,28,70.0,18,4094,3230
407,East Tennessee State University,314269.2,91.7,42.7,1712.7,1348.3,43.0,69.0,7249.0,21436.4,79416.0,14.0,2.0,58,75.0,18,14434,9574
408,Citadel Military College of South Carolina,314261.8,75.5,31.2,1756.1,1456.1,69.0,86.0,10838.0,20717.4,90576.0,50.0,0.0,20,90.0,13,3592,2531
409,School of Visual Arts,314171.3,76.8,23.7,1728.2,1359.5,66.0,82.0,32270.0,27980.9,89012.8,34.0,31.0,63,85.0,9,4397,3435
410,Carroll College,314116.4,57.5,17.4,1875.4,1506.9,63.0,80.0,27914.0,20959.9,66690.0,55.0,1.0,58,76.3,12,1440,1386
411,SUNY College at Brockport,314019.4,49.0,22.8,1720.5,1438.5,68.0,82.0,7222.0,18572.1,88335.0,2.0,1.0,56,84.0,17,8106,6304
412,Hampton University,313865.8,29.1,15.6,1604.4,1379.0,66.0,80.0,20724.0,25493.5,85428.0,69.0,1.0,65,76.3,9,4393,3276
413,University of Massachusetts-Boston,313794.9,70.8,25.8,1725.0,1425.0,42.0,80.0,11966.0,20217.7,127080.0,5.0,20.0,58,67.0,16,16756,9178
414,Pacific University,313760.7,80.5,21.4,1788.9,1470.0,59.0,81.0,37024.0,25371.1,80874.0,63.0,1.0,63,90.0,10,3640,1797
415,University of Memphis,313751.0,47.4,44.1,1709.0,1350.0,44.0,78.0,8312.0,19246.9,108954.0,12.0,1.0,60,70.0,14,21059,12372
416,CUNY Queens College,313686.1,39.8,21.2,1755.0,1515.0,57.0,86.0,6207.0,14839.5,113634.0,2.0,3.0,59,64.0,14,19310,11079
417,Wesleyan University,313629.5,23.9,33.4,1100.0,1100.0,93.0,96.0,47244.0,44017.7,141525.0,79.0,13.0,52,97.0,8,3224,2914
418,Albany College of Pharmacy and Health Sciences,313615.5,67.4,20.0,1900.0,1623.3,77.0,80.0,28900.0,28289.1,111105.0,19.0,5.0,60,76.3,10,1563,1057
419,Carthage College,313441.3,71.6,13.7,1817.5,1470.0,61.0,80.0,34850.0,18723.4,86679.0,71.0,0.0,54,76.3,13,2948,2599
420,Southeast Missouri State University,313422.4,84.8,45.9,1712.2,1408.5,51.0,73.0,6863.0,12012.0,83655.0,18.0,4.0,57,75.0,22,12087,8168
421,Loyola University New Orleans,313019.4,90.2,15.2,1866.0,1524.0,62.0,80.0,36860.0,27258.6,108216.0,57.0,0.0,62,76.3,11,4330,2618
422,The University of Tennessee-Chattanooga,312930.5,77.3,37.8,1770.0,1464.8,40.0,70.0,7554.0,13452.2,89595.0,3.0,0.0,55,86.0,18,11670,8985
423,University of Nebraska at Omaha,312874.7,78.5,40.9,1770.0,1350.0,45.0,77.0,6550.0,12341.6,86994.0,8.0,0.0,53,76.0,16,15227,9417
424,Presbyterian College,312684.6,53.7,34.0,1792.5,1462.5,65.0,83.0,33650.0,23924.1,72585.0,40.0,2.0,58,95.0,12,1460,1078
425,The Evergreen State College,312540.4,98.9,35.6,1770.0,1315.2,56.0,69.0,8574.0,20616.5,89012.8,38.0,1.0,55,65.0,22,4219,3555
426,University of California-Merced,312494.7,67.2,14.2,1710.0,1384.3,64.0,83.0,13160.0,31568.1,143127.0,0.0,0.0,51,76.3,20,6268,5811
427,Freed-Hardeman University,312483.4,93.4,35.3,1816.9,1511.3,52.0,74.0,20468.0,16255.1,67356.0,48.0,2.0,58,76.3,14,1867,1274
428,Arkansas State University-Main Campus,312293.7,72.4,46.1,1766.9,1468.1,39.0,75.0,7510.0,12987.7,83817.0,10.0,4.0,59,74.0,17,13144,7465
429,Northwestern College,312125.4,77.8,32.3,1827.9,1465.4,63.0,77.0,26764.0,19012.5,64674.0,42.0,3.0,59,92.0,13,1205,1100
430,SUNY College at Plattsburgh,311976.9,47.9,25.6,1687.4,1398.7,61.0,81.0,7179.0,20089.8,79542.0,3.0,6.0,58,89.0,16,5968,5143
431,Wheeling Jesuit University,311906.2,62.6,27.8,1693.2,1389.8,64.0,74.0,27830.0,19793.3,69669.0,69.0,7.0,56,76.3,12,1575,964
432,Central Connecticut State University,311856.0,60.4,27.7,1667.6,1380.9,52.0,80.0,8706.0,17608.1,93762.0,5.0,2.0,50,77.0,15,12037,7702
433,DigiPen Institute of Technology,311818.0,64.9,51.4,2005.9,1628.8,54.0,73.0,26560.0,23816.7,77706.0,45.0,9.0,20,76.3,14,1018,805
434,Milwaukee School of Engineering,311522.9,68.6,32.8,1995.6,1709.4,56.0,82.0,34470.0,22331.3,88101.0,37.0,8.0,24,85.0,15,2810,2434
435,Slippery Rock University of Pennsylvania,311416.3,66.0,41.6,1634.8,1365.2,67.0,82.0,9027.0,15231.2,110178.0,12.0,1.0,59,92.0,22,8495,7059
436,University of Massachusetts-Dartmouth,311185.2,76.8,26.3,1700.9,1386.3,47.0,79.0,11681.0,21103.3,118377.0,5.0,1.0,48,85.0,18,9111,6361
437,Clarkson University,311147.8,62.1,16.7,1953.5,1656.8,71.0,89.0,40540.0,26033.5,119952.0,26.0,3.0,31,95.0,14,3873,3166
438,Old Dominion University,311137.5,81.9,37.3,1656.9,1356.9,52.0,81.0,8550.0,12701.7,108504.0,8.0,2.0,55,72.0,20,24932,15261
439,Ohio Northern University,310915.4,68.6,27.4,1936.4,1588.2,69.0,88.0,36720.0,19760.4,93951.0,17.0,1.0,51,80.0,12,3695,2262
440,Saint Ambrose University,310898.9,96.1,18.5,1710.0,1410.0,57.0,77.0,26740.0,16126.9,80046.0,67.0,4.0,58,84.0,11,3508,2401
441,North Carolina A & T State University,310881.9,57.0,42.7,1481.7,1241.7,48.0,79.0,5422.0,19587.4,95625.0,22.0,2.0,55,87.0,18,10725,8423
442,Florida Agricultural and Mechanical University,310693.7,49.0,50.4,1533.5,1284.6,40.0,81.0,5785.0,25410.1,92322.0,14.0,3.0,62,86.0,15,10241,7230
443,Stockton University,310452.7,64.8,35.0,1781.4,1456.5,67.0,87.0,12322.0,16551.6,112401.0,2.0,0.0,61,86.0,17,8570,7170
444,University of Nebraska at Kearney,310412.4,84.1,43.5,1707.8,1408.8,56.0,80.0,6542.0,11748.8,83079.0,8.0,5.0,59,89.0,15,6902,4668
445,Minot State University,310352.0,57.7,76.3,1689.1,1391.0,40.0,67.0,6086.0,15481.1,79839.0,21.0,14.0,61,70.0,13,3410,2075
446,University of North Carolina at Greensboro,310311.9,60.7,42.5,1690.0,1430.0,56.0,78.0,6382.0,16179.2,103698.0,5.0,2.0,66,78.0,17,18647,12773
447,Elizabethtown College,310231.8,70.8,18.2,1863.8,1530.0,69.0,79.0,38200.0,28317.8,91395.0,35.0,2.0,63,98.0,11,1822,1749
448,Drury University,310041.5,74.4,50.4,1940.0,1590.0,63.0,85.0,23345.0,11958.9,69930.0,11.0,7.0,60,76.3,19,4215,2776
449,SUNY Maritime College,309946.0,52.6,37.2,1791.1,1544.1,47.0,85.0,7109.0,31210.8,82233.0,26.0,1.0,12,92.0,15,1799,1591
450,Roanoke College,309944.0,69.3,16.8,1797.7,1451.6,64.0,80.0,36597.0,24346.4,82116.0,51.0,3.0,60,95.0,11,2050,1978
451,Arizona State University-West,309934.8,77.8,34.1,1803.1,1470.0,59.0,86.0,9528.0,17938.1,112932.0,23.0,4.0,62,67.0,13,3692,2768
452,University of Mary,309898.5,78.6,48.6,1717.8,1406.9,46.0,76.0,14730.0,16845.6,47007.0,48.0,4.0,65,82.0,15,2809,1727
453,Marietta College,309722.3,69.5,14.8,1820.0,1470.0,63.0,74.0,31940.0,25125.3,74178.0,35.0,8.0,43,91.0,10,1500,1283
454,Pennsylvania State University-Penn State Harrisburg,309666.0,82.1,28.4,1724.2,1382.5,67.0,83.0,14240.0,13291.1,112860.0,20.0,19.0,44,76.3,14,4519,3250
455,Moody Bible Institute,309469.4,72.1,70.7,1100.0,1100.0,86.0,87.0,11356.0,25410.6,56556.0,72.0,7.0,43,71.0,17,3967,2498
456,University of North Georgia,309391.5,69.5,62.6,1678.4,1359.5,25.0,83.0,4219.0,8523.3,66987.0,4.0,2.0,56,82.0,21,16064,10738
457,Springfield College,309327.1,70.9,35.4,1718.2,1352.7,69.0,83.0,32560.0,22581.1,87984.0,60.0,0.0,56,76.3,13,3178,2108
458,Drew University,309290.6,70.2,12.6,1834.3,1507.2,62.0,84.0,44068.0,33248.9,95256.0,35.0,4.0,59,95.0,9,2113,1357
459,Southern Utah University,309241.1,61.0,23.7,1761.1,1402.6,50.0,66.0,5924.0,15366.0,80019.0,25.0,5.0,55,64.0,18,7656,5131
460,Montana Tech of the University of Montana,309217.9,90.7,47.5,1826.2,1538.2,44.0,71.0,6464.0,22873.0,80577.0,18.0,2.0,32,72.0,15,2085,1732
461,University of Colorado Colorado Springs,308967.7,92.4,24.9,1773.4,1470.0,47.0,66.0,7024.0,11566.1,100206.0,11.0,0.0,53,73.0,15,11761,7363
462,California State University-Chico,308966.4,71.0,19.3,1650.0,1329.0,59.0,87.0,6972.0,12990.2,88164.0,1.0,1.0,53,86.0,26,17287,14886
463,University of Central Missouri,308902.2,77.9,47.6,1650.0,1350.0,53.0,70.0,7140.0,11256.1,82314.0,11.0,1.0,53,79.0,18,13379,8133
464,Concordia College at Moorhead,308742.4,64.3,28.5,1881.1,1592.2,72.0,83.0,32814.0,24658.9,75699.0,28.0,0.0,60,76.3,12,2398,2332
465,Asbury University,308700.2,68.7,33.3,1872.9,1514.8,68.0,81.0,26076.0,15181.6,63018.0,44.0,2.0,61,77.0,12,1879,1253
466,Seattle Pacific University,308653.3,83.4,18.5,1866.6,1536.7,75.0,85.0,33813.0,19925.1,90612.0,44.0,0.0,68,92.0,15,4217,3107
467,The University of Texas at Arlington,308494.9,61.4,43.1,1782.0,1403.3,42.0,69.0,8878.0,12554.2,118260.0,1.0,5.0,60,53.0,26,39740,15957
468,Lindenwood University,308476.8,52.9,52.6,1693.3,1398.3,50.0,70.0,15150.0,9047.7,63099.0,29.0,15.0,59,69.0,13,12151,7443
469,Winona State University,308400.1,63.0,36.9,1710.0,1410.0,57.0,76.0,8730.0,12081.9,83889.0,33.0,0.0,63,76.3,20,8684,7196
470,San Francisco State University,308392.4,66.0,17.8,1661.6,1301.6,50.0,84.0,6450.0,14685.3,98019.0,1.0,2.0,57,78.0,24,29465,21713
471,Doane College-Crete,308324.3,79.3,20.8,1696.0,1459.0,59.0,72.0,26180.0,23055.6,68886.0,28.0,0.0,50,98.0,12,1065,1057
472,Oral Roberts University,308258.0,79.8,33.1,1684.5,1327.2,53.0,80.0,22508.0,19161.7,80127.0,55.0,4.0,56,76.3,16,3481,2500
473,William Jewell College,308241.9,62.8,30.3,1871.3,1528.6,60.0,77.0,31000.0,23802.1,69417.0,39.0,6.0,60,76.3,10,1060,1019
474,Delaware State University,308238.4,43.7,28.4,1453.1,1230.0,43.0,69.0,7336.0,24449.1,78930.0,61.0,1.0,63,85.0,16,4397,3479
475,Massachusetts Maritime Academy,308095.3,61.6,64.3,1804.8,1566.4,70.0,89.0,7127.0,26814.4,81099.0,20.0,0.0,13,76.3,16,1497,1373
476,Trinity College,307755.6,33.0,24.6,1100.0,1100.0,84.0,89.0,47510.0,50784.6,126945.0,73.0,12.0,48,96.0,9,2408,2207
477,School of the Art Institute of Chicago,307747.6,69.1,23.3,1880.0,1290.0,57.0,82.0,40585.0,30689.9,78570.0,52.0,34.0,71,76.3,9,3599,2602
478,Western Carolina University,307626.6,43.1,26.5,1676.8,1420.7,58.0,78.0,6265.0,13470.3,90972.0,7.0,0.0,56,80.0,16,10382,7373
479,Troy University,307458.3,44.1,77.8,1770.0,1350.0,35.0,75.0,7276.0,12505.4,75042.0,21.0,3.0,63,49.0,15,19041,9018
480,Christian Brothers University,307439.9,49.7,31.7,1820.0,1470.0,55.0,84.0,28210.0,26831.4,65232.0,23.0,1.0,56,82.0,13,1667,1183
481,Millersville University of Pennsylvania,307426.5,68.7,31.9,1659.8,1376.2,64.0,77.0,8866.0,16350.0,108585.0,8.0,0.0,57,88.0,21,8047,6358
482,Flagler College-St Augustine,307420.7,47.9,21.3,1704.1,1446.3,58.0,69.0,16180.0,14449.0,70272.0,42.0,1.0,60,91.0,18,2782,2683
483,Minnesota State University-Mankato,307397.8,66.6,34.4,1650.0,1350.0,50.0,73.0,7557.0,11459.5,87381.0,15.0,0.0,53,76.3,23,15387,11186
484,Kansas State University,307171.4,94.9,41.2,1100.0,1100.0,59.0,83.0,8192.0,28528.2,109053.0,18.0,3.0,49,89.0,19,24766,18258
485,Columbia International University,307109.6,33.2,47.1,1691.3,1375.3,68.0,69.0,18930.0,16058.2,44127.0,38.0,3.0,48,76.3,14,1103,497
486,Oakland University,307065.7,67.0,30.5,1770.0,1410.0,46.0,78.0,10613.0,12574.0,106578.0,1.0,2.0,58,77.0,21,20519,12454
487,MCPHS University,306973.1,84.0,21.3,1791.0,1458.6,71.0,87.0,28470.0,17265.9,100872.0,36.0,9.0,67,88.0,24,6935,3826
488,Regent University,306913.0,79.8,18.1,1770.0,1422.8,50.0,78.0,15838.0,14030.1,85266.0,46.0,2.0,61,76.3,32,5914,1455
489,University of Michigan-Dearborn,306849.1,62.7,29.2,1820.0,1470.0,50.0,80.0,10614.0,13497.9,101367.0,0.0,1.0,47,73.0,15,8923,4843
490,Florida Southern College,306730.5,44.8,23.2,1848.9,1574.5,65.0,81.0,28580.0,19370.8,82368.0,38.0,3.0,63,76.3,14,2670,2123
491,Randolph-Macon College,306702.1,60.3,23.9,1777.7,1470.0,62.0,77.0,34850.0,26077.3,84357.0,26.0,0.0,54,99.0,12,1394,1366
492,Point Loma Nazarene University,306470.5,69.5,27.9,1855.7,1541.5,73.0,84.0,30356.0,21890.8,94059.0,20.0,1.0,66,95.0,14,3374,2493
493,University of Puerto Rico-Aguadilla,306407.8,90.5,89.6,1753.5,1407.0,34.0,80.0,2019.0,12139.0,58860.0,0.0,0.0,58,76.3,26,2927,2696
494,The University of West Florida,306317.6,41.7,34.0,1730.9,1438.8,51.0,74.0,6357.0,13488.5,92331.0,9.0,2.0,59,69.0,23,12602,7394
495,Hastings College,306305.4,69.6,34.1,1810.3,1405.3,59.0,74.0,25520.0,20482.8,66141.0,35.0,2.0,49,76.3,14,1212,1129
496,Alfred University,306294.1,69.4,20.2,1755.0,1440.0,55.0,75.0,25430.0,24843.8,68895.0,18.0,0.0,52,93.0,12,2310,1840
497,Suffolk University,306207.8,83.9,14.7,1768.4,1384.0,55.0,76.0,31716.0,25067.4,96300.0,30.0,14.0,56,76.3,11,8215,5024
498,California State University-Northridge,306098.4,52.9,31.3,1541.8,1193.7,47.0,77.0,6525.0,12022.7,88155.0,1.0,5.0,55,80.0,28,40131,29341
499,Shippensburg University of Pennsylvania,305923.5,83.1,28.3,1616.5,1327.2,55.0,74.0,9448.0,16358.2,108198.0,7.0,0.0,51,93.0,19,7355,5956
500,Alderson Broaddus University,305878.7,42.6,20.9,1622.7,1334.4,45.0,56.0,22740.0,16686.1,51048.0,62.0,4.0,50,91.0,16,1108,993
501,University of Illinois at Springfield,305859.0,61.6,33.9,1815.0,1408.0,49.0,79.0,9178.0,17639.5,108522.0,7.0,4.0,49,59.0,14,5431,1935
502,Indiana Wesleyan University,305798.6,95.0,45.1,1796.2,1431.9,63.0,84.0,23628.0,9800.9,75771.0,39.0,0.0,67,76.3,16,14943,9440
503,St John's University-New York,305731.7,62.5,10.0,1824.4,1491.5,59.0,79.0,37260.0,20912.4,139482.0,32.0,5.0,57,65.0,17,20445,10717
504,Western New England University,305655.4,80.1,15.2,1757.7,1468.6,59.0,76.0,33020.0,21291.8,105741.0,53.0,0.0,45,76.3,13,3922,2576
505,Saint Vincent College,305612.1,71.9,33.0,1740.8,1365.4,74.0,82.0,30350.0,20552.2,86796.0,23.0,0.0,49,97.0,12,1829,1560
506,Indiana University of Pennsylvania-Main Campus,305528.0,94.7,33.0,1590.0,1280.7,53.0,75.0,9080.0,15952.4,108738.0,5.0,1.0,55,93.0,19,14534,11452
507,CUNY Brooklyn College,305436.9,35.3,19.0,1770.0,1485.0,50.0,82.0,6184.0,14689.5,111978.0,2.0,1.0,60,61.0,14,17390,9897
508,The Master's College and Seminary,305263.7,75.9,53.0,1824.6,1470.0,62.0,86.0,28800.0,17847.9,72567.0,37.0,6.0,38,76.3,10,1572,1063
509,Northern Michigan University,305200.7,72.1,32.5,1650.0,1350.0,48.0,73.0,9037.0,14464.4,85347.0,20.0,0.0,55,82.0,21,8781,7002
510,University of Wisconsin-Superior,305133.0,88.6,38.5,1650.0,1350.0,43.0,73.0,7946.0,18136.8,66798.0,44.0,11.0,61,66.0,16,2600,1934
511,Saint Cloud State University,305126.3,82.2,34.5,1650.0,1350.0,45.0,73.0,7514.0,10893.2,83403.0,13.0,0.0,53,76.3,22,16076,9310
512,Cleveland State University,304989.8,84.2,37.7,1665.7,1351.6,39.0,70.0,9498.0,15916.8,99720.0,5.0,4.0,55,76.3,17,16936,8673
513,Oglethorpe University,304958.3,78.2,12.8,1852.2,1541.1,51.0,71.0,31280.0,34644.9,55611.0,28.0,2.0,58,76.3,14,1094,1034
514,The University of Texas-Pan American,304644.3,62.8,51.9,1552.4,1293.2,43.0,76.0,5173.0,12262.8,95031.0,1.0,1.0,56,83.0,22,21015,13455
515,Greenville College,304640.5,55.7,23.5,1750.8,1393.6,48.0,70.0,23612.0,17031.6,59877.0,41.0,1.0,51,88.0,11,1307,1031
516,Eastern Illinois University,304475.6,49.8,25.4,1650.0,1350.0,59.0,76.0,11144.0,22757.7,91368.0,7.0,1.0,60,86.0,14,8913,6676
517,Wisconsin Lutheran College,304331.0,64.3,37.5,1757.0,1453.3,61.0,70.0,24770.0,20088.8,65736.0,28.0,2.0,55,86.0,12,1179,980
518,East Stroudsburg University of Pennsylvania,304297.9,81.5,28.3,1572.9,1290.0,56.0,74.0,8991.0,15319.2,108234.0,25.0,0.0,55,90.0,23,6819,5642
519,Saint Norbert College,304226.2,81.7,30.5,1820.0,1530.0,70.0,84.0,31866.0,24844.0,89739.0,21.0,3.0,57,76.3,14,2169,2048
520,The College of Idaho,304218.9,92.9,31.5,1796.4,1422.7,60.0,86.0,24055.0,19630.8,70326.0,23.0,7.0,52,76.3,11,1144,1085
521,Albion College,304072.8,60.8,12.0,1822.9,1531.2,72.0,84.0,36051.0,34106.5,76491.0,10.0,1.0,50,76.3,11,1268,1242
522,Oklahoma Baptist University,303998.0,60.5,13.4,1966.6,1525.9,51.0,74.0,21842.0,15319.3,66735.0,31.0,2.0,59,76.3,15,1979,1808
523,Jacksonville State University,303974.0,83.3,47.9,1755.0,1342.5,30.0,72.0,7092.0,12701.8,76725.0,20.0,0.0,57,74.0,19,8659,5733
524,Manhattan College,303931.7,66.5,13.7,1804.2,1498.5,75.0,84.0,35725.0,22656.2,103815.0,33.0,2.0,45,76.3,12,3970,3276
525,University of Hartford,303931.5,72.1,11.7,1671.2,1324.1,53.0,74.0,33358.0,19484.1,82125.0,56.0,3.0,51,83.0,10,6817,4446
526,Lycoming College,303713.6,72.2,30.6,1747.9,1391.0,62.0,82.0,33746.0,20256.4,85257.0,38.0,0.0,54,97.0,14,1353,1331
527,Cairn University-Langhorne,303602.7,97.8,51.1,1658.3,1290.0,66.0,75.0,22455.0,17857.8,55998.0,48.0,1.0,55,83.0,14,1058,767
528,Eastern Kentucky University,303520.2,73.9,36.1,1651.5,1345.5,42.0,72.0,7536.0,16043.4,77553.0,10.0,1.0,57,73.0,15,16305,11166
529,University of Central Arkansas,303438.6,94.3,45.9,1768.8,1349.6,45.0,70.0,7595.0,11565.8,79884.0,8.0,3.0,61,81.0,17,11698,8172
530,Pacific Lutheran University,303402.3,75.0,22.3,1846.7,1486.9,68.0,82.0,34740.0,26931.1,83772.0,25.0,2.0,63,88.0,11,3242,2822
531,Southern Oregon University,303328.4,77.4,31.4,1688.4,1374.0,40.0,74.0,7438.0,12501.8,79659.0,46.0,3.0,58,60.0,21,5954,3581
532,Houghton College,303192.4,93.8,32.0,1865.3,1484.7,76.0,87.0,27728.0,23503.9,61470.0,32.0,0.0,64,76.3,11,1073,993
533,Geneva College,303179.0,71.1,28.8,1946.5,1250.5,65.0,84.0,25220.0,18763.2,66411.0,33.0,0.0,53,76.3,13,1717,1350
